APR_MDC_key,week_number,day_number,hospitalizations
01,46,2,22.5
01,46,3,18.5
01,46,4,10.0
01,46,5,11.5
01,46,6,7.5
01,46,7,12.0
01,47,1,21.5
01,47,2,20.5
01,47,3,15.5
01,47,4,15.0
01,47,5,13.0
01,47,6,4.5
01,47,7,8.0
01,48,1,16.5
01,48,2,19.5
01,48,3,19.0
01,48,4,19.5
01,48,5,13.5
01,48,6,6.0
01,48,7,6.5
01,49,1,13.5
01,49,2,19.5
01,49,3,19.5
01,49,4,15.0
01,49,5,11.5
01,49,6,4.5
01,49,7,8.0
01,50,1,15.0
01,50,2,19.5
01,50,3,17.0
01,50,4,14.5
01,50,5,13.0
01,50,6,4.0
01,50,7,8.5
01,51,1,19.5
01,51,2,20.0
01,51,3,20.0
01,51,4,16.0
01,51,5,14.5
01,51,6,3.5
01,51,7,5.0
01,52,1,9.0
01,52,2,11.5
01,52,3,12.0
01,52,4,13.0
01,52,5,11.0
01,52,6,6.0
01,52,7,4.5
01,53,5,3.0
01,53,6,6.0
01,53,7,9.0
02,1,1,1.5
02,1,2,5.5
02,1,3,2.0
02,1,4,7.0
02,1,5,7.0
02,1,7,1.0
02,2,1,4.5
02,2,2,7.0
02,2,3,6.0
02,2,4,6.5
02,2,5,2.0
02,3,1,6.5
02,3,2,6.5
02,3,3,2.0
02,3,4,5.5
02,3,5,3.5
02,3,7,1.0
02,4,1,4.5
02,4,2,5.0
02,4,3,4.5
02,4,4,4.5
02,4,5,3.0
02,5,1,6.0
02,5,2,5.5
02,5,3,3.0
02,5,4,7.0
02,5,5,4.0
02,5,6,2.0
02,5,7,1.0
02,6,1,5.0
02,6,2,2.5
02,6,3,1.0
02,6,4,7.0
02,6,5,2.0
02,6,6,1.0
02,7,1,7.5
02,7,2,8.0
02,7,3,2.0
02,7,4,10.0
02,7,5,6.0
02,8,1,6.0
02,8,2,6.0
02,8,3,4.5
02,8,4,4.5
02,8,5,3.0
02,8,6,1.0
02,8,7,1.0
02,9,1,5.5
02,9,2,5.5
02,9,3,1.0
02,9,4,9.5
02,9,5,5.0
02,9,7,1.0
02,10,1,7.0
02,10,2,8.0
02,10,3,1.0
02,10,4,4.0
02,10,5,4.0
02,10,6,2.0
02,11,1,6.5
02,11,2,7.0
02,11,3,2.0
02,11,4,10.5
02,11,5,6.0
02,12,1,5.5
02,12,2,5.0
02,12,3,2.0
02,12,4,5.5
02,12,5,6.0
02,12,6,1.0
02,12,7,1.5
02,13,1,4.0
02,13,2,5.5
02,13,3,1.5
02,13,4,9.0
02,13,5,4.0
02,13,6,1.0
02,13,7,1.0
02,14,1,4.0
02,14,2,5.0
02,14,3,2.0
02,14,4,5.5
02,14,5,1.5
02,14,6,1.0
02,14,7,1.0
02,15,1,6.5
02,15,2,5.5
02,15,3,1.0
02,15,4,5.5
02,15,5,4.0
02,15,6,1.0
02,15,7,1.0
02,16,1,7.0
02,16,2,5.5
02,16,3,1.5
02,16,4,4.5
02,16,5,6.0
02,16,6,1.5
02,16,7,1.0
02,17,1,6.0
02,17,2,6.0
02,17,3,1.0
02,17,4,11.0
02,17,5,5.0
02,17,7,1.5
02,18,1,6.0
02,18,2,8.0
02,18,3,2.0
02,18,4,2.0
02,18,5,5.0
02,18,6,1.0
02,19,1,7.0
02,19,2,3.0
02,19,3,2.0
02,19,4,9.5
02,19,5,4.0
02,19,6,1.0
02,19,7,1.0
02,20,1,9.0
02,20,2,4.5
02,20,3,2.5
02,20,4,5.0
02,20,5,6.0
02,20,7,1.5
02,21,1,6.0
02,21,2,5.5
02,21,3,2.5
02,21,4,8.5
02,21,5,7.0
02,21,6,1.0
02,22,1,8.0
02,22,2,3.5
02,22,3,1.5
02,22,4,2.5
02,22,5,4.0
02,22,6,2.0
02,22,7,1.0
02,23,1,6.0
02,23,2,8.0
02,23,3,1.0
02,23,4,12.5
02,23,5,3.5
02,23,6,1.0
02,24,1,6.0
02,24,2,7.0
02,24,3,2.0
02,24,4,3.5
02,24,5,3.0
02,24,6,1.0
02,24,7,1.0
02,25,1,3.5
02,25,2,6.5
02,25,3,1.5
02,25,4,10.5
02,25,5,1.5
02,25,6,1.0
02,25,7,1.0
02,26,1,6.5
02,26,2,6.5
02,26,3,1.0
02,26,4,4.0
02,26,5,2.0
02,26,6,1.0
02,26,7,1.0
02,27,1,7.0
02,27,2,6.0
02,27,3,3.0
02,27,4,9.5
02,27,5,5.0
02,27,6,1.0
02,27,7,1.0
02,28,1,6.0
02,28,2,5.5
02,28,3,1.0
02,28,4,6.0
02,28,5,5.0
02,28,6,1.5
02,29,1,3.0
02,29,2,7.0
02,29,3,1.5
02,29,4,5.0
02,29,5,2.0
02,29,7,2.0
02,30,1,2.0
02,30,2,1.5
02,30,3,2.0
02,30,4,4.5
02,30,5,2.0
02,30,7,1.0
02,31,1,2.0
02,31,2,4.5
02,31,3,2.0
02,31,4,9.0
02,31,5,5.0
02,31,6,1.0
02,31,7,1.0
02,32,1,7.0
02,32,2,5.0
02,32,3,2.0
02,32,4,6.0
02,32,6,1.0
02,32,7,1.0
02,33,1,2.5
02,33,2,5.0
02,33,3,1.0
02,33,4,12.0
02,33,5,1.5
02,33,7,2.0
02,34,1,7.0
02,34,2,10.0
02,34,3,1.0
02,34,4,4.5
02,34,5,4.0
02,34,6,1.0
02,34,7,1.0
02,35,1,4.5
02,35,2,4.5
02,35,3,2.5
02,35,4,9.0
02,35,5,4.0
02,35,7,2.0
02,36,1,6.0
02,36,2,9.0
02,36,3,9.0
02,36,4,3.5
02,36,5,2.0
02,36,6,1.0
02,37,1,7.0
02,37,2,5.0
02,37,3,2.0
02,37,4,12.5
02,37,5,6.0
02,37,6,1.5
02,37,7,1.0
02,38,1,6.0
